date,channel,source,url_to_post,message_variant,posted,status,post_url,visits,form_submits,replies,interviews,price_yes,sample_requests,notes
2026-06-27,GitHub Pages article,article_github,https://gurwnswh9910-maker.github.io/korean-sesame-oil-mvp/note_article.html,note_article_html,yes,public_pending_traffic,https://gurwnswh9910-maker.github.io/korean-sesame-oil-mvp/note_article.html,,,,,,,"published inside GitHub Pages with robots.txt and sitemap; source flows through share_note.html?src=article_github"
2026-06-27,Vercel landing,vercel_landing,https://korean-sesame-oil-mvp.vercel.app/,clean_landing,yes,public_pending_traffic,https://korean-sesame-oil-mvp.vercel.app/,,,,,,,"consumer-facing canonical surface deployed to Vercel; / /note /share /field verified 200; GitHub text not visible in rendered pages"
2026-06-27,note kfood,note_kfood,https://korean-sesame-oil-mvp.vercel.app/answer-note,note_article,yes,public_pending_traffic,https://note.com/dreamy_viola8978/n/n77fa3f5a7fe9,5,,0,,,,"published 2026-06-27T21:46+09:00 as oilcham; updated for mobile CTA with /answer-note, /share?src=note_kfood, and note comment template; /answer-note changed 2026-06-27T22:40+09:00 from Notion direct redirect to mobile answer hub with note comment, Notion form, and copy memo choices; no GitHub Pages links visible; tags #韓国料理 #新大久保 #韓国旅行 #ごま油 #おうち韓国; free post, comments on, auto translation off, AI training compensation off; note dashboard 2026-06-28T02:39+09:00 still shows latest aggregation 2026年6月28日 01:31 with this post 5 views, 0 comments, 0 likes"
2026-06-27,X/Threads travel,x_threads_travel,https://korean-sesame-oil-mvp.vercel.app/?src=x_threads_travel,travel_memory,no,ready_account_permission,,,,,,,,"post only after note 24h or if user confirms direct SNS posting; one manual post only"
2026-06-27,X/Threads homecook,x_threads_homecook,https://korean-sesame-oil-mvp.vercel.app/?src=x_threads_homecook,homecook_kfood,no,hold_after_travel_post,,,,,,,,"use only if travel post has no response; avoid repeated link posting"
2026-06-27,Konest community,konest,https://korean-sesame-oil-mvp.vercel.app/share?src=konest,travel_memory,no,hold_rules_check,,,,,,,,"needs community rule check or moderator permission before posting"
2026-06-27,Tunagate/offline,tunagate,https://korean-sesame-oil-mvp.vercel.app/field,interview_request,no,do_not_post_platform,,,,,,,,"Tunagate rules prohibit sales/solicitation/promotion/external service induction; offline natural interviews only"
2026-06-27,X public answer intent,x_public_answer,https://korean-sesame-oil-mvp.vercel.app/note?src=x_public_answer,public_answer_intent,yes,public_response_path,https://korean-sesame-oil-mvp.vercel.app/note?src=x_public_answer,,,,,,,"MVP pages include X intent links with hashtag #韓国ごま油検証; collect real response URLs into public_social_responses.csv"
2026-06-27,Vercel content MVP,content_travel,https://korean-sesame-oil-mvp.vercel.app/korea-trip-goma?src=content_travel,product_external_content,yes,public_pending_traffic,https://korean-sesame-oil-mvp.vercel.app/korea-trip-goma?src=content_travel,,,,,,,"product-external content MVP for Korea travel/Shin-Okubo/home-cooking target-density validation; deployed 2026-06-27T23:20+09:00; count only recent purchase/store/brand/volume-price/switching-condition responses, not views alone"
2026-06-27,note content travel,note_content_travel,https://korean-sesame-oil-mvp.vercel.app/korea-trip-goma?src=note_content_travel,note_product_external_content,yes,public_pending_traffic,https://note.com/dreamy_viola8978/n/n3f3af286cf6d,,,,,,,"published 2026-06-27T23:38+09:00 as oilcham; product-external question post asking Korea travel/Shin-Okubo purchase place, aroma retention, and switching conditions; free post, comments on, auto translation off, AI training compensation off; unauthenticated HTTP returns 200 and contains content link, but page HTML includes noindex so search discovery may be weak; 2026-06-28T00:32+09:00 /korea-trip-goma first screen now shows /quick-answer?src=note_content_travel CTA"
2026-06-28,Vercel Shin-Okubo content,content_shinokubo,https://korean-sesame-oil-mvp.vercel.app/shinokubo-goma?src=content_shinokubo,product_external_substitute_check,yes,public_pending_traffic,https://korean-sesame-oil-mvp.vercel.app/shinokubo-goma?src=content_shinokubo,,,,,,,"product-external content MVP for people who already buy or browse Korean sesame oil in Shin-Okubo/Korean supermarkets; asks current purchase place, brand/store, volume/price, dissatisfaction, switching condition, and 100ml price reaction; count only purchase-context responses"
2026-06-28,note content Shin-Okubo,note_content_shinokubo,https://korean-sesame-oil-mvp.vercel.app/shinokubo-goma?src=note_content_shinokubo,note_product_external_substitute_check,yes,public_pending_traffic,https://note.com/dreamy_viola8978/n/n700b325ba824,,,,,,,"published 2026-06-28T01:04:46+09:00 as oilcham; asks people who already buy or browse Korean sesame oil in Shin-Okubo/Korean supermarkets about current purchase place, brand/store, volume/price, dissatisfaction, switching condition, and 100ml price reaction; free post, comments on, auto translation disabled, AI learning reward excluded; tags #韓国料理 #新大久保 #ごま油 #韓国食品 #おうち韓国; unauthenticated HTTP returns 200 and contains shinokubo-goma plus quick-answer links; HTML includes noindex so search discovery may be weak"
2026-06-28,Vercel home-cooking content,content_homecook,https://korean-sesame-oil-mvp.vercel.app/homecook-goma?src=content_homecook,product_external_homecook_check,yes,public_pending_traffic,https://korean-sesame-oil-mvp.vercel.app/homecook-goma?src=content_homecook,,,,,,,"product-external content MVP for people who cook bibimbap/namul/kimbap/ramen/TKG at home and may feel the last sesame aroma is weak; asks recent dish, current sesame oil source/brand, volume/price, aroma dissatisfaction, switching condition, and 100ml price reaction; count only cooking-context plus purchase-context responses"
2026-06-28,note content home-cooking,note_content_homecook,https://korean-sesame-oil-mvp.vercel.app/homecook-goma?src=note_content_homecook,note_product_external_homecook_check,yes,public_pending_traffic,https://note.com/dreamy_viola8978/n/n08bad3dce2a9,,,,,,,"published 2026-06-28T01:49:44+09:00 as oilcham; asks home K-food cooks about recent dish, current sesame oil source/brand, volume/price, last-aroma dissatisfaction or sufficient reason, switching condition, and 100ml price reaction; free post, comments on, auto translation disabled, AI learning reward excluded; tags #韓国料理 #ビビンバ #ナムル #ごま油 #おうち韓国; unauthenticated HTTP returns 200 and contains homecook-goma plus quick-answer links; no #vercel/#homecook tag in published body/API; HTML includes noindex so search discovery may be weak"
2026-06-28,note content rice-bowl,note_content_homecook_ricebowl,https://korean-sesame-oil-mvp.vercel.app/homecook-goma?src=note_content_homecook_ricebowl,note_product_external_ricebowl_check,yes,public_pending_traffic,https://note.com/dreamy_viola8978/n/nbb21605544ca,,,,,,,"published 2026-06-28T02:20:24+09:00 as oilcham; targets lighter daily scenes such as Korean seaweed rice, TKG, onigiri, ramen, cold tofu, and yakiniku sauce; asks whether people use sesame oil for last aroma, current oil source/brand, small-bottle/aroma-retention/price switching condition; free post, comments on, auto translation disabled, AI learning reward excluded; tags #卵かけご飯 #韓国海苔 #ごま油 #おうちごはん #韓国料理; unauthenticated HTTP returns 200 and contains homecook-goma plus quick-answer links; no #vercel/#homecook/#ricebowl tag in published body/API; HTML includes noindex so search discovery may be weak"
2026-06-28,Vercel aroma-loss content,content_aromaloss,https://korean-sesame-oil-mvp.vercel.app/aroma-loss-goma?src=content_aromaloss,product_external_aroma_retention_check,yes,public_pending_traffic,https://korean-sesame-oil-mvp.vercel.app/aroma-loss-goma,,,,,,,"product-external content MVP for the top post-recheck problem: big bottle burden and aroma weakening after opening; asks current oil source/brand, volume/price, opened duration, remaining-bottle aroma, use dishes, 100ml/small-bottle/manufacturing-date switching condition; note packet exists at mvp/note_aromaloss_posting_packet.md but live note posting is held until 24h response recheck"
2026-06-28,Vercel shelf-check content,content_shelfcheck,https://korean-sesame-oil-mvp.vercel.app/shelf-check?src=content_shelfcheck,product_external_shelf_choice_check,yes,public_pending_traffic,https://korean-sesame-oil-mvp.vercel.app/shelf-check,,,,,,,"product-external utility MVP for people looking at Korean sesame oil or aroma-heavy Japanese sesame oil on a shelf or online; asks candidate product/store, volume/price, reason for hesitating, opened-duration/use-up concern, and whether manufacturing date/fresh pressing/aroma retention/small bottle/repurchase convenience would justify 100ml 1,480 yen; count only original responses with purchase or shelf context, not page views"
2026-06-28,Offline aroma-retention interview kit,offline_aromaloss,https://korean-sesame-oil-mvp.vercel.app/quick-answer?src=offline_aromaloss,offline_aroma_retention_interview,yes,ready_offline_not_used,https://korean-sesame-oil-mvp.vercel.app/field-aroma,,,,,,,"high-intent offline QR/interview kit for Shin-Okubo/Korean supermarket contexts; asks purchase place/brand, bottle volume-price, opened duration, remaining-bottle aroma, use dishes, and whether manufacturing date/fresh pressing/aroma retention justifies 100ml 1,480 yen; QR decodes to quick-answer?src=offline_aromaloss; not response evidence until field_interview_log.csv has real rows"
2026-06-28,note external comment candidate,note_comment_ottogi_mill,https://note.com/kohanaatkitchen/n/n6c024194cdfa,note_context_comment_no_link,yes,posted_pending_reply,https://note.com/kohanaatkitchen/n/n6c024194cdfa,,,0,,,,"posted 2026-06-28T16:26+09:00 via logged-in Edge CDP as oilcham; no link; public API 2026-06-28T16:26:48+09:00 shows published can_comment=true comments 1 likes 14; page comment section showed the oilcham comment asking final-aroma use and whether Ottogi 110ml or pressed-date/aroma comparison matters; not response evidence until a third-party reply exists"
2026-06-28,note external comment candidate,note_comment_korean_mill_aroma,https://note.com/kanshoku_shuto/n/n783033624017,note_context_comment_no_link,no,hold_after_first_two_posted,https://note.com/kanshoku_shuto/n/n783033624017,,,,,,,"comment candidate prepared in 검증/note_댓글_관찰_접촉_패킷_20260628.md; public API 2026-06-28T14:37:57+09:00 shows published and can_comment=true, comments 1, likes 6; asks where Korean fresh-pressed sesame aroma is most useful after bringing it to Japan; hold until at least 6-24h after the first two posted comments or after reply/notification check"
2026-06-28,note external comment candidate,note_comment_shinokubo_namul,https://note.com/kikosugar_/n/ne6bf02bdc64b,note_context_comment_no_link,yes,posted_pending_reply,https://note.com/kikosugar_/n/ne6bf02bdc64b,,,0,,,,"posted 2026-06-28T16:30+09:00 via logged-in Edge CDP as oilcham; no link; public API 2026-06-28T16:30:49+09:00 shows published can_comment=true comments 2 likes 45, one higher than the pre-posting snapshot; comment asks whether Shin-Okubo ingredient buyers choose sesame oil as final-aroma oil and whether cheap small bottle, large standard bottle, or fresh-pressed type is easier to choose; not response evidence until a third-party reply exists"
2026-06-28,note external comment candidate,note_comment_kimbap,https://note.com/aurea_yakuzen/n/n5d28638b82f0,note_context_comment_no_link,no,hold_later_batch,https://note.com/aurea_yakuzen/n/n5d28638b82f0,,,,,,,"comment candidate added 2026-06-28T15:06:14+09:00; public API shows published and can_comment=true, comments 0, likes 2; asks home kimbap/namul cooks what bottle size they use and whether they care about aroma before use-up; hold until first two comments have had time to receive replies or until home-cooking answers are specifically needed"
2026-06-28,note external comment candidate,note_comment_korean_seaweed_gift,https://note.com/minomushi_anju/n/n04f209abaf22,note_context_comment_no_link,no,hold_later_batch,https://note.com/minomushi_anju/n/n04f209abaf22,,,,,,,"comment candidate added 2026-06-28T15:06:14+09:00; public API shows published and can_comment=true, comments 0, likes 12; asks whether fresh Korean seaweed aroma implies opened/fresh-made sesame oil difference or only fresh seaweed difference; keep as indirect freshness probe after more direct candidates"
2026-06-28,note external comment candidate,note_comment_korea_trip_oil_baggage,https://note.com/mhtkmtbr/n/nacecf2a8abf7,note_context_comment_no_link,no,hold_later_batch,https://note.com/mhtkmtbr/n/nacecf2a8abf7,,,,,,,"comment candidate added 2026-06-28T15:06:14+09:00; public API shows published and can_comment=true, comments 0, likes 34; asks what cooking oil was bought in Korea and why it was worth liquid baggage friction; hold as Korea-trip purchase-friction probe because the oil may not be sesame oil"
